image,true_class,true_toxicity,model,llm,pred_class,confidence,risk_level,flagged
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.989,MODERATE,False
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.6719,HIGH,True
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.6719,HIGH,True
Amanita brunnescens_129.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.6719,HIGH,True
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9895,MODERATE,False
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9895,HIGH,True
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9895,MODERATE,False
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9997,MODERATE,False
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9997,HIGH,True
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9997,MODERATE,False
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.986,MODERATE,False
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.986,HIGH,True
Amanita brunnescens_13.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.986,MODERATE,False
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9999,MODERATE,False
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9999,HIGH,True
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9999,MODERATE,False
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,1.0,MODERATE,False
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,1.0,HIGH,True
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,1.0,MODERATE,False
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.9959,MODERATE,False
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.9959,MODERATE,False
Amanita brunnescens_276.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.9959,MODERATE,False
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9889,MODERATE,False
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9889,MODERATE,False
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9889,MODERATE,False
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9995,MODERATE,False
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9995,HIGH,True
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9995,MODERATE,False
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.992,MODERATE,False
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.992,HIGH,True
Amanita brunnescens_153.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.992,MODERATE,False
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.4633,HIGH,True
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.4633,HIGH,True
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.4633,HIGH,True
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.6722,HIGH,True
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.6722,HIGH,True
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.6722,HIGH,True
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.7453,MODERATE,False
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.7453,HIGH,True
Amanita brunnescens_242.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.7453,MODERATE,False
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9995,MODERATE,False
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9995,HIGH,True
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9995,MODERATE,False
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9999,MODERATE,False
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9999,HIGH,True
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9999,MODERATE,False
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.9887,MODERATE,False
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.9887,HIGH,True
Amanita brunnescens_240.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.9887,MODERATE,False
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9566,MODERATE,False
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9566,HIGH,True
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9566,MODERATE,False
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9982,MODERATE,False
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9982,MODERATE,False
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9982,MODERATE,False
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.9532,MODERATE,False
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.9532,HIGH,True
Amanita brunnescens_35.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.9532,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,YOLOv8n,none,Amanita brunnescens,0.9036,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,YOLOv8n,llama,Amanita brunnescens,0.9036,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,YOLOv8n,gemma,Amanita brunnescens,0.9036,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,YOLOv26n,none,Amanita brunnescens,0.9858,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,YOLOv26n,llama,Amanita brunnescens,0.9858,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,YOLOv26n,gemma,Amanita brunnescens,0.9858,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,none,Amanita brunnescens,0.9784,MODERATE,False
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,llama,Amanita brunnescens,0.9784,HIGH,True
Amanita brunnescens_191.jpg,Amanita brunnescens,Toxic,EfficientNet-B0,gemma,Amanita brunnescens,0.9784,MODERATE,False
